Rank,Major,Major_category,Employed,Full_time,Part_time,Unemployed,College_jobs
1,PETROLEUM ENGINEERING,Engineering,1976,1849,270,37,1534
2,MINING AND MINERAL ENGINEERING,Engineering,640,556,170,85,350
3,METALLURGICAL ENGINEERING,Engineering,648,558,133,16,456
4,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,758,1069,150,40,529
5,CHEMICAL ENGINEERING,Engineering,25694,23170,5180,1672,18314
6,NUCLEAR ENGINEERING,Engineering,1857,2038,264,400,1142
7,ACTUARIAL SCIENCE,Business,2912,2924,296,308,1768
8,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1526,1085,553,33,972
9,MECHANICAL ENGINEERING,Engineering,76442,71298,13101,4650,52844
10,ELECTRICAL ENGINEERING,Engineering,61928,55450,12695,3895,45829
11,COMPUTER ENGINEERING,Engineering,32506,30315,5146,2275,23694
12,AEROSPACE ENGINEERING,Engineering,11391,11106,2724,794,8184
13,BIOMEDICAL ENGINEERING,Engineering,10047,9017,2694,1019,6439
14,MATERIALS SCIENCE,Engineering,3307,2751,878,78,2626
15,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,3608,2999,811,23,2439
16,BIOLOGICAL ENGINEERING,Engineering,6170,5455,1983,589,3603
17,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,15604,14879,2243,699,8306
18,GENERAL ENGINEERING,Engineering,44931,41235,7199,2859,26898
19,ARCHITECTURAL ENGINEERING,Engineering,2575,2277,343,170,1665
20,COURT REPORTING,Law & Public Policy,930,808,223,11,402
21,COMPUTER SCIENCE,Computers & Mathematics,102087,91485,18726,6884,68622
22,FOOD SCIENCE,Agriculture & Natural Resources,3149,2558,1121,338,1183
23,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,8587,7530,1873,824,5126
24,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,2449,1658,1040,70,1911
25,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,16413,15141,2420,1015,6342
26,CIVIL ENGINEERING,Engineering,43041,38302,10080,3270,28526
27,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,16318,15690,1751,1042,3275
28,OPERATIONS LOGISTICS AND E-COMMERCE,Business,10027,9639,1183,504,1466
29,MISCELLANEOUS ENGINEERING,Engineering,7428,6811,1662,597,3445
30,PUBLIC POLICY,Law & Public Policy,4547,4163,1306,670,1550
31,ENVIRONMENTAL ENGINEERING,Engineering,2983,2384,930,308,2028
32,ENGINEERING TECHNOLOGIES,Engineering,2799,2257,689,163,1017
33,MISCELLANEOUS FINE ARTS,Arts,2914,2049,1067,286,693
34,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,604,524,126,49,501
35,NURSING,Health,180903,151191,40818,8497,151643
36,FINANCE,Business,145696,137921,21463,9413,24243
37,ECONOMICS,Social Science,104117,96567,25325,11452,25582
38,BUSINESS ECONOMICS,Business,10914,10048,1937,1165,1578
39,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,4428,3988,597,129,1394
40,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,1778,1392,579,137,162
41,ACCOUNTING,Business,165527,151967,27693,12411,11417
42,MATHEMATICS,Computers & Mathematics,58118,46399,18079,2884,34800
43,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,28459,26348,4332,2934,13344
44,PHYSICS,Physical Sciences,25302,19428,8721,1282,18674
45,MEDICAL TECHNOLOGIES TECHNICIANS,Health,13150,11510,2665,505,5546
46,INFORMATION SCIENCES,Computers & Mathematics,9881,9105,1468,639,4390
47,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,4247,3190,1840,401,2298
48,APPLIED MATHEMATICS,Computers & Mathematics,3854,3465,1176,385,2437
49,PHARMACOLOGY,Biology & Life Science,1144,657,532,107,603
50,OCEANOGRAPHY,Physical Sciences,1638,1931,379,99,459
51,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,2125,1992,462,74,482
52,MEDICAL ASSISTING SERVICES,Health,9168,5643,4107,407,2091
53,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,559,584,0,0,452
54,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,3257,3204,482,419,2024
55,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,2741,2470,711,223,1369
56,SCHOOL STUDENT COUNSELING,Education,730,595,135,88,509
57,INTERNATIONAL RELATIONS,Social Science,21190,18681,5563,2271,6774
58,GENERAL BUSINESS,Business,190183,171385,36241,14946,29334
59,ARCHITECTURE,Engineering,34158,29223,10206,4366,16178
60,INTERNATIONAL BUSINESS,Business,19660,17563,4890,2092,3383
61,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,16620,12537,5346,977,11573
62,MOLECULAR BIOLOGY,Biology & Life Science,11581,9441,4590,1067,7225
63,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,14826,13364,3366,1150,2236
64,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,12323,11119,2196,649,1925
65,GENERAL AGRICULTURE,Agriculture & Natural Resources,8884,7589,2031,178,2418
66,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,7502,7001,1240,416,2446
67,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4186,4175,247,250,1861
68,GENETICS,Biology & Life Science,2463,1787,847,87,1675
69,MISCELLANEOUS SOCIAL SCIENCES,Social Science,2727,2183,907,215,744
70,UNITED STATES HISTORY,Humanities & Liberal Arts,2787,2103,839,138,801
71,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work,2343,1644,1095,286,559
72,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,2174,1819,620,182,535
73,PHYSICAL SCIENCES,Physical Sciences,1146,768,437,42,530
74,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,0,111,0,0,0
75,CHEMISTRY,Physical Sciences,48535,39509,15066,2769,30382
76,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,2107,2057,287,64,221
77,BUSINESS MANAGEMENT AND ADMINISTRATION,Business,276234,251540,50357,21502,36720
78,MARKETING AND MARKETING RESEARCH,Business,178862,156668,35829,11663,25320
79,POLITICAL SCIENCE AND GOVERNMENT,Social Science,133454,117709,43711,15022,36854
80,GEOGRAPHY,Social Science,14057,11367,5651,1799,5350
81,MICROBIOLOGY,Biology & Life Science,9685,7453,3379,693,5577
82,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,6509,6289,1030,721,2354
83,BIOCHEMICAL SCIENCES,Biology & Life Science,25678,20643,9948,2249,15654
84,BOTANY,Biology & Life Science,1010,946,169,0,677
85,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,6144,5495,1447,1100,2593
86,GEOLOGY AND EARTH SCIENCE,Physical Sciences,8296,6966,2913,677,4858
87,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,20760,18550,3767,1315,2406
88,PRE-LAW AND LEGAL STUDIES,Law & Public Policy,9762,7851,3595,757,2002
89,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,10076,7514,4145,893,5652
90,PUBLIC ADMINISTRATION,Law & Public Policy,4158,4148,847,789,919
91,GEOSCIENCES,Physical Sciences,1441,1264,354,36,784
92,SOCIAL PSYCHOLOGY,Psychology & Social Work,1080,828,433,33,434
93,ENVIRONMENTAL SCIENCE,Biology & Life Science,20859,16987,7071,1779,8149
94,COMMUNICATIONS,Communications & Journalism,179633,147335,49889,14602,40763
95,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,125393,109970,32242,11268,24348
96,COMMERCIAL ART AND GRAPHIC DESIGN,Arts,83483,67448,24387,8947,37389
97,JOURNALISM,Communications & Journalism,61022,51411,15902,4535,23279
98,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,46138,37850,13133,2727,17923
99,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,45326,38815,10948,3305,9659
100,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,24629,18755,9541,1668,8465
101,SPECIAL NEEDS EDUCATION,Education,24639,21584,5153,1067,20185
102,PHYSIOLOGY,Biology & Life Science,14643,10732,6541,1088,6587
103,CRIMINOLOGY,Social Science,16181,13616,4543,1743,3373
104,NUTRITION SCIENCES,Health,13217,9601,6648,975,6535
105,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,15419,13534,3299,1518,2589
106,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,14779,11981,4690,2006,4545
107,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,12266,11688,2633,962,4575
108,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,11797,10722,2613,842,4333
109,NEUROSCIENCE,Biology & Life Science,9087,8027,3078,463,5605
110,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary,9821,8032,3173,749,5176
111,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,3431,2659,1309,78,1808
112,FORESTRY,Agriculture & Natural Resources,3007,2473,891,322,1096
113,SOIL SCIENCE,Agriculture & Natural Resources,613,488,185,0,355
114,GENERAL EDUCATION,Education,118241,98408,29558,7195,82007
115,HISTORY,Humanities & Liberal Arts,105646,84681,40657,11176,35336
116,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,38315,29340,14569,3132,15051
117,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,18824,14354,7978,1718,4956
118,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,17700,14002,5168,1012,10928
119,COMMUNITY AND PUBLIC HEALTH,Health,14512,10099,6377,1833,5225
120,MATHEMATICS TEACHER EDUCATION,Education,13115,11259,2273,216,10699
121,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,703,733,0,0,346
122,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,7052,5029,3891,529,3051
123,MISCELLANEOUS BIOLOGY,Biology & Life Science,7767,6076,2568,483,4253
124,BIOLOGY,Biology & Life Science,182295,144512,72371,13874,88232
125,SOCIOLOGY,Social Science,92721,73475,29639,8608,29051
126,MASS MEDIA,Communications & Journalism,44679,35769,13078,4410,12855
127,TREATMENT THERAPY PROFESSIONS,Health,37861,30020,12346,2409,22215
128,HOSPITALITY MANAGEMENT,Business,36728,32160,7494,2393,2325
129,LANGUAGE AND DRAMA EDUCATION,Education,26033,21419,7239,1379,17985
130,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,11165,8462,4831,1302,4122
131,MISCELLANEOUS EDUCATION,Education,8691,7264,2202,547,5284
132,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science,7444,5843,2834,757,2630
133,ECOLOGY,Biology & Life Science,7585,5603,2741,437,2856
134,SECONDARY TEACHER EDUCATION,Education,15116,12520,3782,833,10304
135,GENERAL MEDICAL AND HEALTH SERVICES,Health,24406,18166,11088,2183,9364
136,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,40157,31086,16659,4267,14444
137,ART AND MUSIC EDUCATION,Education,30007,23018,9209,1206,20821
138,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,149180,114386,57825,14345,57690
139,ELEMENTARY EDUCATION,Education,149339,123177,37965,7297,108085
140,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,103078,77428,38515,5593,27581
141,LIBERAL ARTS,Humanities & Liberal Arts,54844,43401,19187,4657,18565
142,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,31433,22457,12818,3718,7368
143,GENERAL SOCIAL SCIENCES,Social Science,9602,7700,3396,1108,3602
144,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,6594,5798,1246,314,2089
145,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,5362,4764,1227,266,4214
146,PSYCHOLOGY,Psychology & Social Work,307933,233205,115172,28169,125148
147,MUSIC,Arts,47662,29010,24943,3918,13752
148,PHYSICAL AND HEALTH EDUCATION TEACHING,Education,23794,19420,7230,1920,12777
149,ART HISTORY AND CRITICISM,Humanities & Liberal Arts,17579,13262,6140,1128,5139
150,FINE ARTS,Arts,59679,42764,23656,5486,20792
151,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,46624,36747,15872,3355,20985
152,SOCIAL WORK,Psychology & Social Work,45038,34941,13481,3329,27449
153,ANIMAL SCIENCES,Agriculture & Natural Resources,17112,14479,5353,917,5443
154,VISUAL AND PERFORMING ARTS,Arts,12870,8447,6253,1465,3849
155,TEACHER EDUCATION: MULTIPLE LEVELS,Education,13076,11734,2214,496,10766
156,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,7653,5201,3221,419,2960
157,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work,8294,6455,2405,326,2878
158,HUMANITIES,Humanities & Liberal Arts,5052,3565,2225,372,1168
159,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,24202,18079,8767,1617,9927
160,STUDIO ARTS,Arts,13908,10451,5673,1368,3948
161,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,8650,7662,2064,510,563
162,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,1290,1098,335,82,483
163,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,29633,20147,14515,3395,9805
164,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,29763,19975,13862,1487,19957
165,EARLY CHILDHOOD EDUCATION,Education,32551,27569,7001,1360,23515
166,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,7052,5197,3685,846,2326
167,DRAMA AND THEATER ARTS,Arts,36165,25147,15994,3040,6994
168,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,15053,10121,6612,1340,4855
169,ZOOLOGY,Biology & Life Science,6259,5043,2190,304,2771
170,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,2125,1848,572,148,1488
171,CLINICAL PSYCHOLOGY,Psychology & Social Work,2101,1724,648,368,986
172,COUNSELING PSYCHOLOGY,Psychology & Social Work,3777,3154,965,214,2403
173,LIBRARY SCIENCE,Education,742,593,237,87,288
